strd_date,strd_tizn_val,ifw_rgn_dv_val,vehi_size_dv_val,vehi_typ_dv_val,vehi_num,pass_nt
20230922,0,내부,대형,승용,3,3
20230922,0,내부,소형,화물,1,1
20230922,0,내부,중형,승용,6,6
20230922,0,내부,중형,화물,2,2
20230922,1,내부,대형,승용,3,3
20230922,1,내부,소형,특수,1,1
20230922,1,내부,소형,화물,1,1
20230922,1,내부,중형,승용,5,5
20230922,2,내부,대형,승용,1,1
20230922,2,내부,중형,승용,2,2
20230922,3,내부,대형,승용,1,1
20230922,3,내부,대형,화물,2,2
20230922,3,내부,중형,승용,2,2
20230922,4,내부,대형,승용,2,2
20230922,4,내부,대형,화물,1,1
20230922,4,내부,중형,승용,3,3
20230922,5,내부,대형,승용,6,6
20230922,5,내부,대형,화물,2,2
20230922,5,내부,소형,화물,6,6
20230922,5,내부,중형,승용,7,7
20230922,5,내부,중형,화물,1,1
20230922,6,내부,대형,승용,15,15
20230922,6,내부,대형,승합,2,2
20230922,6,내부,대형,화물,3,3
20230922,6,내부,소형,화물,8,8
20230922,6,내부,중형,승용,16,16
20230922,6,내부,중형,승합,3,3
20230922,6,내부,중형,특수,1,1
20230922,9,내부,경형,화물,1,1
20230922,9,내부,대형,승용,53,53
20230922,9,내부,대형,승합,1,1
20230922,9,내부,대형,화물,4,4
20230922,9,내부,소형,화물,27,27
20230922,9,내부,중형,승용,69,69
20230922,9,내부,중형,승합,3,3
20230922,9,내부,중형,특수,1,1
20230922,9,내부,중형,화물,7,7
20230922,10,내부,대형,승용,47,47
20230922,10,내부,대형,승합,5,5
20230922,10,내부,대형,화물,2,2
20230922,10,내부,소형,화물,43,43
20230922,10,내부,중형,승용,73,73
20230922,10,내부,중형,승합,6,6
20230922,10,내부,중형,화물,7,7
20230922,11,내부,대형,승용,44,44
20230922,11,내부,대형,화물,1,1
20230922,11,내부,소형,승용,1,1
20230922,11,내부,소형,특수,1,1
20230922,11,내부,소형,화물,44,44
20230922,11,내부,중형,승용,69,69
20230922,11,내부,중형,승합,1,1
20230922,11,내부,중형,화물,4,4
20230922,12,내부,대형,승용,42,42
20230922,12,내부,대형,승합,2,2
20230922,12,내부,대형,화물,2,2
20230922,12,내부,소형,화물,29,29
20230922,12,내부,중형,승용,72,72
20230922,12,내부,중형,승합,3,3
20230922,12,내부,중형,화물,5,5
20230922,13,내부,경형,승합,1,1
20230922,13,내부,대형,승용,45,45
20230922,13,내부,대형,승합,1,1
20230922,13,내부,대형,화물,3,3
20230922,13,내부,소형,화물,30,30
20230922,13,내부,중형,승용,70,70
20230922,13,내부,중형,승합,2,2
20230922,13,내부,중형,화물,3,3
20230922,14,내부,대형,승용,60,60
20230922,14,내부,대형,승합,1,1
20230922,14,내부,대형,특수,1,1
20230922,14,내부,대형,화물,5,5
20230922,14,내부,소형,화물,42,42
20230922,14,내부,중형,승용,101,101
20230922,14,내부,중형,승합,6,6
20230922,14,내부,중형,화물,11,11
20230922,15,내부,대형,승용,81,81
20230922,15,내부,대형,승합,2,2
20230922,15,내부,대형,특수,1,1
20230922,15,내부,대형,화물,5,5
20230922,15,내부,소형,특수,1,1
20230922,15,내부,소형,화물,61,61
20230922,15,내부,중형,승용,146,146
20230922,15,내부,중형,승합,2,2
20230922,15,내부,중형,특수,1,1
20230922,15,내부,중형,화물,7,7
20230922,16,내부,경형,승용,1,1
20230922,16,내부,대형,승용,81,81
20230922,16,내부,대형,승합,1,1
20230922,16,내부,대형,화물,3,3
20230922,16,내부,소형,승용,1,1
20230922,16,내부,소형,특수,2,2
20230922,16,내부,소형,화물,52,52
20230922,16,내부,중형,승용,136,136
20230922,16,내부,중형,승합,3,3
20230922,16,내부,중형,화물,7,7
20230922,17,내부,대형,승용,72,72
20230922,17,내부,대형,승합,1,1
20230922,17,내부,대형,화물,2,2
20230922,17,내부,소형,승용,1,1
20230922,17,내부,소형,특수,1,1
20230922,17,내부,소형,화물,43,43
20230922,17,내부,중형,승용,116,116
20230922,17,내부,중형,승합,4,4
20230922,17,내부,중형,화물,9,9
20230922,20,내부,대형,승용,49,49
20230922,20,내부,소형,화물,9,9
20230922,20,내부,중형,승용,51,51
20230922,20,내부,중형,승합,2,2
20230922,21,내부,대형,승용,34,34
20230922,21,내부,소형,특수,2,2
20230922,21,내부,소형,화물,6,6
20230922,21,내부,중형,승용,45,45
20230922,21,내부,중형,승합,1,1
20230922,21,내부,중형,화물,1,1
20230922,22,내부,대형,승용,31,31
20230922,22,내부,소형,화물,2,2
20230922,22,내부,중형,승용,27,27
20230922,23,내부,대형,승용,8,8
20230922,23,내부,소형,화물,6,6
20230922,23,내부,중형,승용,14,14
