strd_date,strd_tizn_val,ifw_rgn_dv_val,vehi_size_dv_val,vehi_typ_dv_val,vehi_num,pass_nt
20230901,0,내부,대형,승용,15,15
20230901,0,내부,소형,화물,1,1
20230901,0,내부,중형,승용,29,29
20230901,0,내부,중형,승합,1,1
20230901,1,내부,대형,승용,5,5
20230901,1,내부,대형,승합,1,1
20230901,1,내부,소형,화물,2,2
20230901,1,내부,중형,승용,10,10
20230901,2,내부,대형,승용,5,5
20230901,2,내부,대형,화물,1,1
20230901,2,내부,소형,화물,4,4
20230901,2,내부,중형,승용,7,7
20230901,2,내부,중형,승합,1,1
20230901,3,내부,대형,승용,5,5
20230901,3,내부,대형,화물,4,4
20230901,3,내부,소형,화물,3,3
20230901,3,내부,중형,승용,7,7
20230901,3,내부,중형,화물,1,1
20230901,4,내부,대형,승용,7,7
20230901,4,내부,대형,화물,1,1
20230901,4,내부,소형,화물,2,2
20230901,4,내부,중형,승용,11,11
20230901,4,내부,중형,화물,2,2
20230901,5,내부,대형,승용,15,15
20230901,5,내부,대형,승합,1,1
20230901,5,내부,대형,특수,1,1
20230901,5,내부,대형,화물,1,1
20230901,5,내부,소형,화물,9,9
20230901,5,내부,중형,승용,38,38
20230901,5,내부,중형,승합,2,2
20230901,5,내부,중형,화물,1,1
20230901,6,내부,대형,승용,37,37
20230901,6,내부,대형,화물,3,3
20230901,6,내부,소형,화물,30,30
20230901,6,내부,중형,승용,57,57
20230901,6,내부,중형,승합,3,3
20230901,6,내부,중형,화물,1,1
20230901,9,내부,대형,승용,128,128
20230901,9,내부,대형,승합,1,1
20230901,9,내부,대형,화물,6,6
20230901,9,내부,소형,승용,2,2
20230901,9,내부,소형,화물,71,71
20230901,9,내부,중형,승용,203,203
20230901,9,내부,중형,승합,4,4
20230901,9,내부,중형,특수,1,1
20230901,9,내부,중형,화물,11,11
20230901,10,내부,대형,승용,141,141
20230901,10,내부,대형,승합,1,1
20230901,10,내부,대형,화물,12,12
20230901,10,내부,소형,화물,70,70
20230901,10,내부,중형,승용,173,173
20230901,10,내부,중형,승합,6,6
20230901,10,내부,중형,화물,14,14
20230901,11,내부,대형,승용,125,125
20230901,11,내부,대형,승합,3,3
20230901,11,내부,대형,화물,7,7
20230901,11,내부,소형,화물,85,85
20230901,11,내부,중형,승용,195,195
20230901,11,내부,중형,승합,4,4
20230901,11,내부,중형,화물,13,13
20230901,12,내부,대형,승용,115,115
20230901,12,내부,대형,승합,1,1
20230901,12,내부,대형,화물,2,2
20230901,12,내부,소형,승용,1,1
20230901,12,내부,소형,화물,46,46
