strd_tizn_val,vehi_size_dv_val,vehi_typ_dv_val,avg_vehi_num
0,대형,승용,15.62962962962963
0,대형,승합,0.0
0,대형,특수,0.0
0,대형,화물,1.25
0,중형,승용,28.37037037037037
0,중형,승합,1.3636363636363635
0,중형,특수,0.0
0,중형,화물,1.5714285714285714
0,소형,승용,1.0
0,소형,승합,0.0
0,소형,특수,1.0
0,소형,화물,2.8260869565217392
0,경형,승용,0.0
0,경형,승합,0.0
0,경형,특수,0.0
0,경형,화물,0.0
1,대형,승용,7.888888888888889
1,대형,승합,1.0
1,대형,특수,1.0
1,대형,화물,1.25
1,중형,승용,16.0
1,중형,승합,1.4
1,중형,특수,0.0
1,중형,화물,1.0
1,소형,승용,1.0
1,소형,승합,0.0
1,소형,특수,1.0
1,소형,화물,1.92
1,경형,승용,1.0
1,경형,승합,0.0
1,경형,특수,0.0
1,경형,화물,0.0
2,대형,승용,5.37037037037037
2,대형,승합,1.0
2,대형,특수,1.0
2,대형,화물,1.2666666666666666
2,중형,승용,10.481481481481481
2,중형,승합,1.0
2,중형,특수,0.0
2,중형,화물,1.0
2,소형,승용,0.0
2,소형,승합,0.0
2,소형,특수,1.0
2,소형,화물,2.5
2,경형,승용,0.0
2,경형,승합,0.0
2,경형,특수,0.0
2,경형,화물,0.0
3,대형,승용,4.555555555555555
3,대형,승합,1.0
3,대형,특수,0.0
3,대형,화물,1.3846153846153846
3,중형,승용,8.037037037037036
3,중형,승합,1.0
3,중형,특수,0.0
3,중형,화물,1.1428571428571428
3,소형,승용,0.0
3,소형,승합,0.0
3,소형,특수,0.0
3,소형,화물,2.3333333333333335
3,경형,승용,0.0
3,경형,승합,0.0
3,경형,특수,0.0
3,경형,화물,0.0
4,대형,승용,6.666666666666667
4,대형,승합,0.0
4,대형,특수,1.0
4,대형,화물,2.0
4,중형,승용,14.037037037037036
4,중형,승합,1.2352941176470589
4,중형,특수,0.0
4,중형,화물,1.56
4,소형,승용,1.0
4,소형,승합,0.0
4,소형,특수,0.0
4,소형,화물,3.8076923076923075
4,경형,승용,0.0
4,경형,승합,0.0
4,경형,특수,0.0
4,경형,화물,0.0
5,대형,승용,26.074074074074073
5,대형,승합,1.4166666666666667
5,대형,특수,1.0
5,대형,화물,3.2083333333333335
5,중형,승용,50.629629629629626
5,중형,승합,4.384615384615385
5,중형,특수,0.0
5,중형,화물,1.6
5,소형,승용,0.0
5,소형,승합,0.0
5,소형,특수,1.0
5,소형,화물,14.0
5,경형,승용,1.0
5,경형,승합,0.0
5,경형,특수,0.0
5,경형,화물,0.0
6,대형,승용,42.629629629629626
6,대형,승합,1.7
6,대형,특수,1.0
6,대형,화물,5.6
6,중형,승용,74.11111111111111
6,중형,승합,3.5
6,중형,특수,1.1818181818181819
6,중형,화물,4.2
6,소형,승용,0.0
6,소형,승합,1.0
6,소형,특수,1.0
