strd_date,strd_tizn_val,ifw_rgn_dv_val,vehi_size_dv_val,vehi_typ_dv_val,vehi_num,pass_nt
20230923,0,내부,대형,승용,26,26
20230923,0,내부,소형,화물,6,6
20230923,0,내부,중형,승용,58,58
20230923,0,내부,중형,승합,2,2
20230923,0,내부,중형,화물,2,2
20230923,1,내부,대형,승용,17,17
20230923,1,내부,소형,화물,1,1
20230923,1,내부,중형,승용,23,23
20230923,2,내부,대형,승용,5,5
20230923,2,내부,대형,화물,1,1
20230923,2,내부,소형,화물,3,3
20230923,2,내부,중형,승용,13,13
20230923,3,내부,대형,승용,8,8
20230923,3,내부,소형,화물,2,2
20230923,3,내부,중형,승용,12,12
20230923,4,내부,대형,승용,17,17
20230923,4,내부,대형,화물,2,2
20230923,4,내부,소형,화물,5,5
20230923,4,내부,중형,승용,16,16
20230923,4,내부,중형,화물,1,1
20230923,5,내부,대형,승용,33,33
20230923,5,내부,대형,승합,2,2
20230923,5,내부,대형,특수,1,1
20230923,5,내부,대형,화물,4,4
20230923,5,내부,소형,화물,19,19
20230923,5,내부,중형,승용,62,62
20230923,5,내부,중형,승합,7,7
20230923,5,내부,중형,화물,2,2
20230923,6,내부,대형,승용,46,46
20230923,6,내부,대형,승합,1,1
20230923,6,내부,대형,화물,8,8
20230923,6,내부,소형,화물,28,28
20230923,6,내부,중형,승용,70,70
20230923,6,내부,중형,승합,2,2
20230923,6,내부,중형,화물,3,3
20230923,7,내부,대형,승용,57,57
20230923,7,내부,대형,승합,1,1
20230923,7,내부,대형,화물,5,5
20230923,7,내부,소형,승용,1,1
20230923,7,내부,소형,특수,1,1
20230923,7,내부,소형,화물,46,46
20230923,7,내부,중형,승용,91,91
20230923,7,내부,중형,승합,6,6
20230923,7,내부,중형,특수,2,2
20230923,7,내부,중형,화물,4,4
20230923,8,내부,대형,승용,80,80
20230923,8,내부,대형,승합,1,1
20230923,8,내부,대형,화물,7,7
20230923,8,내부,소형,승용,1,1
20230923,8,내부,소형,화물,42,42
20230923,8,내부,중형,승용,162,162
20230923,8,내부,중형,승합,11,11
20230923,8,내부,중형,화물,8,8
20230923,9,내부,대형,승용,170,170
20230923,9,내부,대형,승합,3,3
20230923,9,내부,대형,화물,6,6
20230923,9,내부,소형,승용,2,2
20230923,9,내부,소형,특수,2,2
20230923,9,내부,소형,화물,54,54
20230923,9,내부,중형,승용,319,319
20230923,9,내부,중형,승합,10,10
20230923,9,내부,중형,화물,1,1
20230923,10,내부,대형,승용,205,205
20230923,10,내부,대형,승합,2,2
20230923,10,내부,대형,화물,2,2
20230923,10,내부,소형,승용,3,3
20230923,10,내부,소형,승합,1,1
20230923,10,내부,소형,특수,2,2
20230923,10,내부,소형,화물,43,43
20230923,10,내부,중형,승용,408,408
20230923,10,내부,중형,승합,7,7
20230923,10,내부,중형,특수,1,1
20230923,10,내부,중형,화물,8,8
20230923,11,내부,경형,승용,1,1
20230923,11,내부,대형,승용,220,220
20230923,11,내부,대형,승합,4,4
20230923,11,내부,대형,화물,7,7
20230923,11,내부,소형,특수,1,1
20230923,11,내부,소형,화물,52,52
20230923,11,내부,중형,승용,405,405
20230923,11,내부,중형,승합,4,4
20230923,11,내부,중형,화물,5,5
20230923,12,내부,대형,승용,235,235
20230923,12,내부,대형,승합,2,2
20230923,12,내부,대형,특수,1,1
20230923,12,내부,대형,화물,2,2
20230923,12,내부,소형,승용,2,2
20230923,12,내부,소형,화물,43,43
20230923,12,내부,중형,승용,352,352
20230923,12,내부,중형,승합,13,13
20230923,12,내부,중형,특수,1,1
20230923,12,내부,중형,화물,10,10
20230923,13,내부,대형,승용,208,208
20230923,13,내부,대형,화물,2,2
20230923,13,내부,소형,승용,1,1
20230923,13,내부,소형,화물,35,35
20230923,13,내부,중형,승용,363,363
20230923,13,내부,중형,승합,4,4
20230923,13,내부,중형,특수,1,1
20230923,13,내부,중형,화물,9,9
20230923,14,내부,대형,승용,192,192
20230923,14,내부,대형,승합,3,3
20230923,14,내부,대형,화물,1,1
20230923,14,내부,소형,승용,1,1
20230923,14,내부,소형,화물,54,54
20230923,14,내부,중형,승용,293,293
20230923,14,내부,중형,승합,8,8
20230923,14,내부,중형,화물,5,5
20230923,15,내부,대형,승용,156,156
20230923,15,내부,소형,승용,1,1
20230923,15,내부,소형,화물,34,34
20230923,15,내부,중형,승용,262,262
20230923,15,내부,중형,승합,5,5
20230923,15,내부,중형,화물,2,2
20230923,16,내부,대형,승용,185,185
20230923,16,내부,대형,특수,1,1
20230923,16,내부,대형,화물,2,2
20230923,16,내부,소형,화물,56,56
20230923,16,내부,중형,승용,322,322
20230923,16,내부,중형,승합,7,7
20230923,16,내부,중형,특수,1,1
20230923,16,내부,중형,화물,11,11
20230923,17,내부,대형,승용,215,215
20230923,17,내부,대형,승합,3,3
20230923,17,내부,소형,승용,2,2
20230923,17,내부,소형,특수,2,2
20230923,17,내부,소형,화물,50,50
20230923,17,내부,중형,승용,352,352
20230923,17,내부,중형,승합,13,13
20230923,17,내부,중형,화물,7,7
20230923,18,내부,대형,승용,172,172
20230923,18,내부,대형,승합,1,1
20230923,18,내부,소형,승용,2,2
20230923,18,내부,소형,화물,31,31
20230923,18,내부,중형,승용,312,312
20230923,18,내부,중형,승합,8,8
20230923,18,내부,중형,특수,1,1
20230923,18,내부,중형,화물,1,1
20230923,19,내부,대형,승용,125,125
20230923,19,내부,대형,화물,1,1
20230923,19,내부,소형,화물,15,15
20230923,19,내부,중형,승용,172,172
20230923,19,내부,중형,승합,4,4
20230923,19,내부,중형,특수,1,1
20230923,20,내부,대형,승용,114,114
20230923,20,내부,소형,화물,14,14
20230923,20,내부,중형,승용,166,166
20230923,20,내부,중형,승합,3,3
20230923,20,내부,중형,화물,2,2
20230923,21,내부,대형,승용,89,89
20230923,21,내부,대형,화물,1,1
20230923,21,내부,소형,특수,1,1
20230923,21,내부,소형,화물,7,7
20230923,21,내부,중형,승용,129,129
20230923,21,내부,중형,승합,1,1
20230923,21,내부,중형,화물,3,3
20230923,22,내부,대형,승용,56,56
20230923,22,내부,대형,화물,1,1
20230923,22,내부,소형,화물,6,6
20230923,22,내부,중형,승용,92,92
20230923,23,내부,대형,승용,35,35
20230923,23,내부,대형,승합,1,1
20230923,23,내부,대형,화물,1,1
20230923,23,내부,소형,화물,3,3
20230923,23,내부,중형,승용,74,74
